TrainStatus,TrainLatitude,TrainLongitude,TrainCode,TrainDate,PublicMessage,Direction
N,51.8491,-8.29956,B912,02 Feb 2026,B912\nCobh to Cork\nExpected Departure 18:30,To Cork
N,51.8491,-8.29956,B930,02 Feb 2026,B930\nCobh to Cork\nExpected Departure 18:30,To Cork
N,51.9018,-8.4582,B227,02 Feb 2026,B227\nCork to Thurles\nExpected Departure 18:25,To Thurles
N,51.9018,-8.4582,B263,02 Feb 2026,B263\nCork to Charleville\nExpected Departure 18:35,To Charleville
N,51.9018,-8.4582,B563,02 Feb 2026,B563\nCork to Midleton\nExpected Departure 18:30,To Midleton
N,51.9018,-8.4582,B581,02 Feb 2026,B581\nCork to Midleton\nExpected Departure 18:30,To Midleton
N,52.0595,-9.50198,B338,02 Feb 2026,B338\nKillarney to Tralee\nExpected Departure 18:22,To Tralee
N,52.2667,-7.1183,A527,02 Feb 2026,A527\nWaterford to Dublin Heuston\nExpected Departure 18:25,To Dublin Heuston
N,52.271,-9.69846,B349,02 Feb 2026,B349\nTralee to Mallow\nExpected Departure 18:25,To Mallow
N,53.2736,-9.04696,A741,02 Feb 2026,A741\nGalway to Athlone\nExpected Departure 18:18,To Athlone
N,53.3464,-6.29461,A526,02 Feb 2026,A526\nDublin Heuston to Waterford\nExpected Departure 18:35,To Waterford
N,53.3531,-6.24591,B126,02 Feb 2026,B126\nDublin Connolly to Drogheda\nExpected Departure 18:20,Northbound
N,53.3531,-6.24591,E265,02 Feb 2026,E265\nDublin Connolly to Bray\nExpected Departure 18:29,Southbound
N,53.7955,-9.50885,A811,02 Feb 2026,A811\nWestport to Dublin Heuston\nExpected Departure 18:30,To Dublin Heuston
N,54.1085,-9.16146,A873,02 Feb 2026,A873\nBallina to Manulla Junction\nExpected Departure 18:20,To Manulla Junction
R,0,0,A412,02 Feb 2026,A412\n17:25 - Dublin Heuston to Limerick (-5 mins late)\nDeparted PL102 next stop Ballybrophy,To Limerick
